Chunk Number,Text Preview,Question,Answer,Term
35,"KIIT POLYTECHNIC Data Structure 31 Swagatika Dalai DELETION ALGORITHM OF CIRCULAR QUEUE Delete (Q, N, ITEM, FRONT, REAR) This procedure delete an element from a circular queue. 1. If Front = NULL then...",Define FRONT.,"KIIT POLYTECHNIC Data Structure 31 Swagatika Dalai DELETION ALGORITHM OF CIRCULAR QUEUE Delete (Q, N, ITEM, FRONT, REAR) This procedure delete an element from a circular queue.",FRONT
38,Chapter-5 LINKED LIST Linked List is a collection of data elements called as nodes. The node has 2 parts  Info is the data part  Next i.e. the address part that means it points to the next node. If ...,Define Link.,Chapter-5 LINKED LIST Linked List is a collection of data elements called as nodes.,Link
39,KIIT POLYTECHNIC Data Structure 34 SwagatikaDalai Start = 4 info [4] = N Link [4] = 3 info [3] = T Link [3] = 6 info [6] = E Link [6] = 2 info [2] = F Link [2] = 0 i.e. the null value So the list has ...,Define Step.,Step-1 : “Start” holds the address of the first node.,Step
40,KIIT POLYTECHNIC Data Structure 35 SwagatikaDalai 2.Insertion The insertion operation is used to add an element in an existing Linked List. There is various positions where node can be inserted.  Ins...,What is Insert?,KIIT POLYTECHNIC Data Structure 35 SwagatikaDalai 2.Insertion The insertion operation is used to add an element in an existing Linked List.,Insert
40,KIIT POLYTECHNIC Data Structure 35 SwagatikaDalai 2.Insertion The insertion operation is used to add an element in an existing Linked List. There is various positions where node can be inserted.  Ins...,Define Step.,Step-1 : Create a new node named as P.,Step
40,KIIT POLYTECHNIC Data Structure 35 SwagatikaDalai 2.Insertion The insertion operation is used to add an element in an existing Linked List. There is various positions where node can be inserted.  Ins...,Explain Linked List.,KIIT POLYTECHNIC Data Structure 35 SwagatikaDalai 2.Insertion The insertion operation is used to add an element in an existing Linked List.,Linked List
41,KIIT POLYTECHNIC Data Structure 36 SwagatikaDalai Algorithm: This algorithm is used to insert a node at the end of the linked list. ‘Start’ holds the address of the first node. Step-1 : Create a new n...,What is Step?,Step-1 : Create a new node named as P.,Step
41,KIIT POLYTECHNIC Data Structure 36 SwagatikaDalai Algorithm: This algorithm is used to insert a node at the end of the linked list. ‘Start’ holds the address of the first node. Step-1 : Create a new n...,What is the purpose of Start?,‘Start’ holds the address of the first node.,Start
41,KIIT POLYTECHNIC Data Structure 36 SwagatikaDalai Algorithm: This algorithm is used to insert a node at the end of the linked list. ‘Start’ holds the address of the first node. Step-1 : Create a new n...,Explain Exit.,Step-2 : If P = NULL then print “Out of memory space” and Exit.,Exit
42,KIIT POLYTECHNIC Data Structure 37 SwagatikaDalai Step-6 : Read Loc Step-7 : Set i = 1 Step-8 : Repeat steps 9 to 11 while Ptr ≠ NULL and i < Loc Step-9 : Set temp = Ptr. Step-10 : Set Ptr = next [Ptr...,What is Step?,KIIT POLYTECHNIC Data Structure 37 SwagatikaDalai Step-6 : Read Loc Step-7 : Set i = 1 Step-8 : Repeat steps 9 to 11 while Ptr ≠ NULL and i < Loc Step-9 : Set temp = Ptr.,Step
43,KIIT POLYTECHNIC Data Structure 38 SwagatikaDalai Algorithm: Start holds the address of the 1st node. Step-1 : Set Ptr = Start Step-2 : Set temp = Start Step-3 : If Ptr = NULL then write ‘UNDERFLOW’ &...,What is Step?,Step-1 : Set Ptr = Start Step-2 : Set temp = Start Step-3 : If Ptr = NULL then write ‘UNDERFLOW’ & Exit.,Step
43,KIIT POLYTECHNIC Data Structure 38 SwagatikaDalai Algorithm: Start holds the address of the 1st node. Step-1 : Set Ptr = Start Step-2 : Set temp = Start Step-3 : If Ptr = NULL then write ‘UNDERFLOW’ &...,What is the purpose of Start Step?,Step-1 : Set Ptr = Start Step-2 : Set temp = Start Step-3 : If Ptr = NULL then write ‘UNDERFLOW’ & Exit.,Start Step
44,KIIT POLYTECHNIC Data Structure 39 SwagatikaDalai Algorithm: Start holds the address of the 1st node. Step-1 : Set Ptr = Start Step-2 : Set Loc = 1 Step-3 : Read element Step-4 : Repeat Step-5 and 7 W...,What is Step?,"Step-1 : Set Ptr = Start Step-2 : Set Loc = 1 Step-3 : Read element Step-4 : Repeat Step-5 and 7 While Ptr ≠ NULL Step-5 : If element = info[Ptr] then Write ‘Element found at position’, Loc and Exit.",Step
45,KIIT POLYTECHNIC Data Structure 40 SwagatikaDalai Garbage Collection The operating system of a computer may periodically collect all the deleted space on to the free storage list. Any technique which ...,What is the purpose of free pool?,When we delete a particular note from an existing linked list or delete the linked list the space occupied by it must be given back to the free pool.,free pool
47,Chapter-6 TREE A tree is non-linear and a hierarchical data structure consisting of a collection of nodes such that each node of the tree stores a value. Application: The following are the application...,Describe Child Node.,The last nodes of each path are called leaf nodes or external nodes that do not contain a link/pointer to child nodes.,Child Node
48,KIIT POLYTECHNIC Data Structure 42 Swagatika Dalai 5.Degree of a Node: The total count of subtrees attached to that node is called the degree of the node. The degree of a leaf node must be 0. The degr...,Define Height.,8.Height of a node: The number of edges on the longest path from that node to a leaf.,Height
52,KIIT POLYTECHNIC Data Structure 46 Swagatika Dalai 3. Visit all the nodes in the right subtree Left → Root → Right Application- Inorder traversal is used to get infix expression of an expression tree....,What is Preorder?,2.Preorder Traversal- This is also known as depth fist order.,Preorder
52,KIIT POLYTECHNIC Data Structure 46 Swagatika Dalai 3. Visit all the nodes in the right subtree Left → Root → Right Application- Inorder traversal is used to get infix expression of an expression tree....,Explain Preorder traversal.,2.Preorder Traversal- This is also known as depth fist order.,Preorder traversal
54,"KIIT POLYTECHNIC Data Structure 48 Swagatika Dalai o First, we have to insert 45 into the tree as the root of the tree. o Then, read the next element; if it is smaller than the root node, insert it as...",What is the purpose of Then?,"o Then, read the next element; if it is smaller than the root node, insert it as the root of the left subtree, and move to the next element.",Then
54,"KIIT POLYTECHNIC Data Structure 48 Swagatika Dalai o First, we have to insert 45 into the tree as the root of the tree. o Then, read the next element; if it is smaller than the root node, insert it as...",Describe First.,"KIIT POLYTECHNIC Data Structure 48 Swagatika Dalai o First, we have to insert 45 into the tree as the root of the tree.",First
57,"KIIT POLYTECHNIC Data Structure 51 Swagatika Dalai Now, let's understand the searching in binary tree using an example. We are taking the binary search tree formed above. Suppose we have to find node ...",What is Swagatika Dalai Now?,"KIIT POLYTECHNIC Data Structure 51 Swagatika Dalai Now, let's understand the searching in binary tree using an example.",Swagatika Dalai Now
59,"KIIT POLYTECHNIC Data Structure 53 Swagatika Dalai Deletion in Binary Search tree In a binary search tree, we must delete a node from the tree by keeping in mind that the property of BST is not violat...",What is the purpose of Here?,"To delete a node from BST, there are three possible situations occur - o The node to be deleted is the leaf node, or, o The node to be deleted has only one child, and, o The node to be deleted has two children 1.When the node to be deleted is the leaf node o It is the simplest case to delete a node in BST.",Here
62,"Chapter-7 GRAPH A graph is a non-linear kind of data structure made up of nodes or vertices and edges. Formally, a graph is a pair of sets (V, E), where V is the set of vertices and E is the set of ed...",Explain Facebook.,"Graphs are also used in social networks like linkedIn, Facebook.",Facebook
63,"KIIT POLYTECHNIC Data Structure 56 Swagatika Dalai 2. Directed Graph or Digraph: A graph G = (V, E) with a mapping f such that every edge maps onto some ordered pair of vertices (Vi, Vj) is called Dig...",What is the purpose of Digraph?,"Directed Graph or Digraph: A graph G = (V, E) with a mapping f such that every edge maps onto some ordered pair of vertices (Vi, Vj) is called Digraph.",Digraph
65,KIIT POLYTECHNIC Data Structure 58 Swagatika Dalai 12. Adjacent Nodes: Two nodes are called adjacent if they are connected through an edge. 13. Path: sequence of vertices in which each pair of success...,What is the purpose of Undirected Graph?,We can represent directed as well as undirected graphs using adjacency matrices..,Undirected Graph
65,KIIT POLYTECHNIC Data Structure 58 Swagatika Dalai 12. Adjacent Nodes: Two nodes are called adjacent if they are connected through an edge. 13. Path: sequence of vertices in which each pair of success...,Explain Here.,"Example: Here, the vertex 'a' and vertex 'b' has a no connectivity between each other and also to any other vertices.",Here
65,KIIT POLYTECHNIC Data Structure 58 Swagatika Dalai 12. Adjacent Nodes: Two nodes are called adjacent if they are connected through an edge. 13. Path: sequence of vertices in which each pair of success...,Describe Path.,Path: sequence of vertices in which each pair of successive vertices is connected by an edge 14.,Path
69,Chapter-8 SORTING SEARCHING & MERGING Sorting refers to the operation or technique of arranging and rearranging sets of data in some specific order. Sorting can be done in ascending and descending ord...,What is Here?,This algorithm is not suitable for large data sets as its average and worst case complexity are of Ο(n2) where n is the number of items.,Here
69,Chapter-8 SORTING SEARCHING & MERGING Sorting refers to the operation or technique of arranging and rearranging sets of data in some specific order. Sorting can be done in ascending and descending ord...,Explain Algorithm.,BUBBLE SORT Bubble sort is a simple sorting algorithm.,Algorithm
70,"KIIT POLYTECHNIC Data Structure 62 Swagatika Dalai Here, 10 is smaller than 35 that are not sorted. So, swapping is required. Now, we reach at the end of the array. After first pass, the array will be...",Define Here.,"KIIT POLYTECHNIC Data Structure 62 Swagatika Dalai Here, 10 is smaller than 35 that are not sorted.",Here
70,"KIIT POLYTECHNIC Data Structure 62 Swagatika Dalai Here, 10 is smaller than 35 that are not sorted. So, swapping is required. Now, we reach at the end of the array. After first pass, the array will be...",What is the purpose of the array?,"Now, we reach at the end of the array.",the array
70,"KIIT POLYTECHNIC Data Structure 62 Swagatika Dalai Here, 10 is smaller than 35 that are not sorted. So, swapping is required. Now, we reach at the end of the array. After first pass, the array will be...",Describe Swagatika Dalai Here.,"KIIT POLYTECHNIC Data Structure 62 Swagatika Dalai Here, 10 is smaller than 35 that are not sorted.",Swagatika Dalai Here
71,KIIT POLYTECHNIC Data Structure 63 Swagatika Dalai Time Complexity Case Time Complexity Best Case O(n) Average Case O(n2) Worst Case O(n2) Space Complexity Space Complexity O(1) Quick sort Quick sort ...,Explain Quicksort.,"Conquer: Recursively, sort two subarrays with Quicksort.",Quicksort
72,"KIIT POLYTECHNIC Data Structure 64 Swagatika Dalai 3. for (j=beg+1; j<=end; j++) 4. if (a[j]<= pivotItem) 5. i=i+1 6. if(i!=j) 7. swap(a[i],a[j]) 8. swap(a[beg], a[i]) 9. return i End Working of Quick...",What is Since?,"Since, pivot is at left, so algorithm starts from right and move towards left.",Since
72,"KIIT POLYTECHNIC Data Structure 64 Swagatika Dalai 3. for (j=beg+1; j<=end; j++) 4. if (a[j]<= pivotItem) 5. i=i+1 6. if(i!=j) 7. swap(a[i],a[j]) 8. swap(a[beg], a[i]) 9. return i End Working of Quick...",Explain Because.,"Because, a[pivot] > a[right], so, algorithm will swap a[pivot] with a[right], and pivot moves to right, as - Now, a[left] = 19, a[right] = 24, and a[pivot] = 24.",Because
73,"KIIT POLYTECHNIC Data Structure 65 Swagatika Dalai Now, a[left] = 9, a[right] = 24, and a[pivot] = 24. As a[pivot] > a[left], so algorithm moves one position to right as - Now, a[left] = 29, a[right] ...",What is Pivot?,"KIIT POLYTECHNIC Data Structure 65 Swagatika Dalai Now, a[left] = 9, a[right] = 24, and a[pivot] = 24.",Pivot
73,"KIIT POLYTECHNIC Data Structure 65 Swagatika Dalai Now, a[left] = 9, a[right] = 24, and a[pivot] = 24. As a[pivot] > a[left], so algorithm moves one position to right as - Now, a[left] = 29, a[right] ...",What is the purpose of Swagatika Dalai Now?,"KIIT POLYTECHNIC Data Structure 65 Swagatika Dalai Now, a[left] = 9, a[right] = 24, and a[pivot] = 24.",Swagatika Dalai Now
73,"KIIT POLYTECHNIC Data Structure 65 Swagatika Dalai Now, a[left] = 9, a[right] = 24, and a[pivot] = 24. As a[pivot] > a[left], so algorithm moves one position to right as - Now, a[left] = 29, a[right] ...",Explain Since.,"– Since, pivot is at left, so algorithm starts from right, and move to left.",Since
74,"KIIT POLYTECHNIC Data Structure 66 Swagatika Dalai Now, a[pivot] = 24, a[left] = 24, and a[right] = 24. So, pivot, left and right are pointing the same element. It represents the termination of proced...",What is Element?,"So, pivot, left and right are pointing the same element.",Element
74,"KIIT POLYTECHNIC Data Structure 66 Swagatika Dalai Now, a[pivot] = 24, a[left] = 24, and a[right] = 24. So, pivot, left and right are pointing the same element. It represents the termination of proced...",Define FIRST.,"SIMPLE MERGE SIMPLE MERGE [FIRST,SECOND,THIRD,K] Given two orders in table sorted in a vector K with FIRST, SECOND, THIRD [Note: This page contains 3 diagram(s)/image(s)]",FIRST
74,"KIIT POLYTECHNIC Data Structure 66 Swagatika Dalai Now, a[pivot] = 24, a[left] = 24, and a[right] = 24. So, pivot, left and right are pointing the same element. It represents the termination of proced...",What is the purpose of SECOND?,"SIMPLE MERGE SIMPLE MERGE [FIRST,SECOND,THIRD,K] Given two orders in table sorted in a vector K with FIRST, SECOND, THIRD [Note: This page contains 3 diagram(s)/image(s)]",SECOND
75,KIIT POLYTECHNIC Data Structure 67 Swagatika Dalai The variable I & J denotes the curser associated with the FIRST & SECOND table respectively. L is the index variable associated with the vector TEMP....,What is TEMP?,L is the index variable associated with the vector TEMP.,TEMP
77,"KIIT POLYTECHNIC Data Structure 70 Swagatika Dalai Example: Suppose the array elements are 11, 22, 33, 44, 55, 66, 77 We wish to search for 33 So key = 33 low = 0 hi = 6 n = 7 Is low <= hi Yes mid = (...",What is Swagatika Dalai Example?,"KIIT POLYTECHNIC Data Structure 70 Swagatika Dalai Example: Suppose the array elements are 11, 22, 33, 44, 55, 66, 77 We wish to search for 33 So key = 33 low = 0 hi = 6 n = 7 Is low <= hi Yes mid = (low+hi)/2=(0+6)/2=3 Is 33 == a[3] No Is 33 < a[3] yes the steps will be repeated for lower half hi = mid-1=3-1=2 low = 0 Is low <= hi Mid=(0+2)/2=1 If key (33) == a[1] No If 33 < a[1] No low = 1+1 =2 hi = 2 mid=(2+2)/2=2 Is 33 == a[2] Yes the search is successful at index 2.",Swagatika Dalai Example
80,KIIT POLYTECHNIC Data Structure 72 Swagatika Dalai ..pppptt PPoowweerrPPooiinntt PPrreesseennttaattiioonn M Miiccrroossoofftt PPoowweerrPPooiinntt ..ppddff PPoorrttaabbllee DDooccuum meenntt FFoorrm m...,What is access method?,There are 3 different file access methods.,access method
81,KIIT POLYTECHNIC Data Structure 73 Swagatika Dalai Direct access/ Random access method:  Direct access is also called as relative access.  In this method records can read/write randomly without any ...,Define access method.,KIIT POLYTECHNIC Data Structure 73 Swagatika Dalai Direct access/ Random access method:  Direct access is also called as relative access.,access method
83,KIIT POLYTECHNIC Data Structure 75 Swagatika Dalai The remainder is calculated physical address for that record. Suppose key value of the record is 2345. i.e. k =2345 and m = 97 then H(k) = 2345 % 97=...,Describe that record.,KIIT POLYTECHNIC Data Structure 75 Swagatika Dalai The remainder is calculated physical address for that record.,that record
84,"KIIT POLYTECHNIC Data Structure 76 Swagatika Dalai Advantages - Accessing a record is faster. - No need to arrange the record on a sorted order. - If required, records can be processed sequentially. -...",What is the purpose of Insertion?,"- Insertion, deletion is easier Disadvantage - Expensive I/O device as compared to sequential file structure.",Insertion
