Chunk Number,Text Preview,Question,Answer,Term
31,Page 32 of 51 FLOWERING PLANTS These are plants that bear flowers. A typical flowering plant is composed of 2 systems i.e: Root system and Shoot system The two systems are made up of two categories of...,What is the purpose of ROOTS?,"They include roots, stems and leaves.",ROOTS
31,Page 32 of 51 FLOWERING PLANTS These are plants that bear flowers. A typical flowering plant is composed of 2 systems i.e: Root system and Shoot system The two systems are made up of two categories of...,Explain flowering plant.,Page 32 of 51 FLOWERING PLANTS These are plants that bear flowers.,flowering plant
33,Page 34 of 51 7. Epiphytic roots These grow on certain plants called epiphytes. Epiphytes are plants which grow and get support from other plants. These roots hang freely in the atmosphere. They absor...,Define Root.,Epiphytic roots These grow on certain plants called epiphytes.,Root
33,Page 34 of 51 7. Epiphytic roots These grow on certain plants called epiphytes. Epiphytes are plants which grow and get support from other plants. These roots hang freely in the atmosphere. They absor...,What is the purpose of ROOT?,Epiphytic roots These grow on certain plants called epiphytes.,ROOT
33,Page 34 of 51 7. Epiphytic roots These grow on certain plants called epiphytes. Epiphytes are plants which grow and get support from other plants. These roots hang freely in the atmosphere. They absor...,Describe Epiphytes.,Epiphytic roots These grow on certain plants called epiphytes.,Epiphytes
35,Page 36 of 51 3) Underground stems These are modified stems which remain permanently underground. They are often swollen and serve as food storage organs. NB: Annual herbs only live for one year Bi – ...,Describe Tendrils.,Climbing stems These are stems that grow clinging to the support of other plants by means of tendrils.,Tendrils
36,"Page 37 of 51 Underground stems There are four types of underground stems namely: Rhizome, Corm, Stem tuber and Bulb. 1. Rhizomes This is a horizontal thick underground stem having adventitious roots ...",Define Bulb.,"Page 37 of 51 Underground stems There are four types of underground stems namely: Rhizome, Corm, Stem tuber and Bulb.",Bulb
36,"Page 37 of 51 Underground stems There are four types of underground stems namely: Rhizome, Corm, Stem tuber and Bulb. 1. Rhizomes This is a horizontal thick underground stem having adventitious roots ...",Explain Rhizome.,"Page 37 of 51 Underground stems There are four types of underground stems namely: Rhizome, Corm, Stem tuber and Bulb.",Rhizome
37,Page 38 of 51 5. Corm A corm is a swollen fleshy underground stem that grows in a vertical direction. It is round-shaped and somehow flattened from the top to bottom. It has a terminal bud lying at th...,What is Phloem?,They consist of xylem and phloem.,Phloem
42,Page 43 of 51 INTERNAL STRUCTURE OF A LEAF 1. Epidermis: This is the outer most layer of a leaf. It’s covered by a transparent water porous layer of cutin called cuticle. This cuticle allows light pen...,What is Epidermis?,Epidermis: This is the outer most layer of a leaf.,Epidermis
43,Page 44 of 51 The palisade cells contain many chloroplasts which are the major sites for photosynthesis. Chloroplasts are small and made up of proteins. They contain chlorophyll which gives green plan...,Describe Calyx.,"The four floral whorls are Calyx, Corolla, Gynoecium and Androecium.",Calyx
44,"Page 45 of 51 Types of ovaries The two types of ovaries include the following 1. Superior ovary: Is the one that arises above the other floral parts e.g. hibiscus, cassia, mimosa pudica, etc. 2. Infer...",Describe Hypogenous.,Hypogenous: The gynoecium is situated at the apex of the receptacle and other whorls arise below it.,Hypogenous
45,"Page 46 of 51 They have sticky stigmas, which hold pollen grains. They produce few sticky pollen grains. They produce heavy pollen grains. They produce nectar from nectarines to attract insects. Chara...",Define Insect.,They produce nectar from nectarines to attract insects.,Insect
45,"Page 46 of 51 They have sticky stigmas, which hold pollen grains. They produce few sticky pollen grains. They produce heavy pollen grains. They produce nectar from nectarines to attract insects. Chara...",What is the purpose of Flowers?,Characteristics of wind pollinated flowers.,Flowers
46,"Page 47 of 51 Types of seeds Monocotyledonous seeds: These contain only one seed leaf or cotyledon. E.g. cereals like maize. Dicotyledonous seeds: These contain 2 cotyledons e.g. legumes like beans, p...",Define Cotyledon.,Page 47 of 51 Types of seeds Monocotyledonous seeds: These contain only one seed leaf or cotyledon.,Cotyledon
46,"Page 47 of 51 Types of seeds Monocotyledonous seeds: These contain only one seed leaf or cotyledon. E.g. cereals like maize. Dicotyledonous seeds: These contain 2 cotyledons e.g. legumes like beans, p...",Explain Radicle.,iv) Radicle: It is a seed root (embryo root) which develops into primary root of the plant.,Radicle
47,Page 48 of 51 Classification of fruits There are 3 groups of fruits namely; i) Simple fruits These are formed from one flower in which the pistil consists of either one carpel (monocarpic) or of sever...,What is the purpose of Achene?,"These are Achene, Nut, Caryopsis, Cypsela and Samara.",Achene
47,Page 48 of 51 Classification of fruits There are 3 groups of fruits namely; i) Simple fruits These are formed from one flower in which the pistil consists of either one carpel (monocarpic) or of sever...,Explain Type.,Types of simple fruits Simple fruits are further divided into three categories.,Type
48,Section through a cashew nut Caryopsis. This is an achene-like fruit in which the testa and pericarp are fused. These are mainly found in grasses and maize. Caryopsis of maize Cypsela This is a fruit ...,What is Caryopsis?,Section through a cashew nut Caryopsis.,Caryopsis
48,Section through a cashew nut Caryopsis. This is an achene-like fruit in which the testa and pericarp are fused. These are mainly found in grasses and maize. Caryopsis of maize Cypsela This is a fruit ...,Define Samara.,tridax and bidens pilosa Cypsela of tridax Samara.,Samara
49,Page 49 of 51 Dry dehiscent fruits These are fruits with a dry pericarp that splits (dehisces) to release seeds. The fruits split at particular lines of weakness known as sutures. These fruits are cat...,What is Legume?,"These fruits include, Follicles, Legume, Capsule and Schizocarp.",Legume
49,Page 49 of 51 Dry dehiscent fruits These are fruits with a dry pericarp that splits (dehisces) to release seeds. The fruits split at particular lines of weakness known as sutures. These fruits are cat...,Define Schizocarp.,"These fruits include, Follicles, Legume, Capsule and Schizocarp.",Schizocarp
50,Page 50 of 51 Tranverse section through a berry (tomato) 3. Pome This is a succulent fruit in which the outer fleshy (normally edible) part develops from the calyx and receptacle. The ovary forms a pa...,Explain Type.,There are five types of placentation as shown in the table below.,Type
52,Page 52 of 51 Self-dispersal a) explosive mechanism This happens with dry dehiscent fruits. The pericarp splits open along the sutures to release the seeds. This is made possible due to the tension th...,What is Self?,Page 52 of 51 Self-dispersal a) explosive mechanism This happens with dry dehiscent fruits.,Self
